id;nome;email;senha;papel;dataCadastro;dataUltimaAlteracao;status
ec62ed76-fd56-4209-ba41-ea0ce24a3946;Admin;admin@example.com;$2b$10$JnsVMYEfWz8HKGQbPB7hHOPHxBZwiOeqokWRgjpppNWwByh9VuXd.;Administrador;2025-01-26T17:25:13.820Z;2025-01-26T17:25:13.820Z;true
b7b434ef-7ef2-4e67-aa01-8088761ab7e9;João Silva;joao.silva@example.com;senha123;Convidado;2025-01-26T17:25:13.820Z;2025-01-26T17:25:13.820Z;true
2eeed3d3-5b98-4386-991a-8a53076073dd;Maria Souza;maria.souza@example.com;senha456;Convidado;2025-01-26T17:25:13.820Z;2025-01-26T17:25:13.820Z;true
5ca73b54-6585-44e5-b46a-bbf24a4593bb;Pedro Oliveira;pedro.oliveira@example.com;senha789;Professor;2025-01-26T17:25:13.820Z;2025-01-26T17:25:13.820Z;false
1676b79e-6739-4e42-9510-196d41831d83;Admin;admin@example.com;$2b$10$JJE.q.TO549gJErlT/8QXO7Qn5Gcce0GOqMNToeWyv0akd1xo0MKq;Administrador;2025-01-26T17:26:34.636Z;2025-01-26T17:26:34.636Z;true
07dd6b01-54dd-485c-b02d-fb65a9db8245;João Silva;joao.silva@example.com;senha123;Convidado;2025-01-26T17:26:34.636Z;2025-01-26T17:26:34.636Z;true
f7aa6b76-d3ac-4f5a-919c-cf48a40d1c8f;Maria Souza;maria.souza@example.com;senha456;Convidado;2025-01-26T17:26:34.636Z;2025-01-26T17:26:34.636Z;true
ade53951-76e7-4b77-b58c-0af89eae6116;Maria Silva;maria@example.com;$2b$10$szas541fhWDV8aU65MfEC.enLug2LGwVCPc/eNVId3qKRuDFW0qJK;Convidado;2025-01-27T20:37:54.624Z;2025-01-27T20:37:54.624Z;true
fb4f02f2-1cca-4516-9a40-05c7bebc8090;Admin;admin@example.com;$2b$10$JMFpeWZeCmHn4AFJ6MotMeDNZA50i9m8jFXP42YQO0xRXPS4Cu93G;Administrador;2025-01-27T21:18:33.284Z;2025-01-27T21:18:33.284Z;true
d68df7aa-b77d-46f9-8b89-0c0af9ab516f;João Silva;joao.silva@example.com;senha123;Convidado;2025-01-27T21:18:33.284Z;2025-01-27T21:18:33.284Z;true
178e144b-706c-481c-92be-4898a08edd92;Maria Souza;maria.souza@example.com;senha456;Convidado;2025-01-27T21:18:33.284Z;2025-01-27T21:18:33.284Z;true
cf48da40-5c61-4396-8e3b-b93314979bf4;Maria Silva Atualizada;pedro.oliveira@example.com;senha789;Professor;2025-01-27T21:18:33.284Z;2025-01-27T22:09:05.523Z;false
